Id,Label,timeset,Clustering Coefficient,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,indegree,outdegree,Degree,componentnumber,modularity_class
Dariyapur Kalan School,,,0,15,0.142507,0.155037,2207.055574,1,1,2,0,19
Bawana Depot,,,0,15,0.144702,0.158331,20390.078904,1,1,2,0,19
Bawana School,,,0,16,0.119017,0.127862,2641.919881,1,1,2,0,19
Aditi College,,,0,17,0.106401,0.112691,977.517012,1,1,2,0,19
DSIDC Bawana/ Dhakewala,,,0,17,0.103633,0.1087,320.282624,1,1,2,0,19
Industrial Area Bawana Sec 3,,,0,16,0.109444,0.114619,1200.265612,1,1,2,0,19
Maharishi Valmiki Hospital / Pooth Khurd,,,0,15,0.122837,0.129804,2926.080119,1,1,2,0,19
Sultan Pur Xing/Poothkhurd,,,0,15,0.122837,0.129804,1973.269201,1,1,2,0,19
Barwala Village,,,0,16,0.109444,0.114619,131.01102,1,1,2,0,19
Barwala School,,,0,16,0.10848,0.113394,31.645788,1,1,2,0,19
Jain Colony,,,0,15,0.12074,0.126829,1758.134767,1,1,2,0,19
Prehladpur School,,,0,14,0.137249,0.145889,3594.730799,1,1,2,0,19
Prahladpur Village,,,0.333333,13,0.158988,0.172925,5653.568644,2,3,5,0,19
Krishna Colony,,,0.333333,13,0.159684,0.173386,5617.009347,2,1,3,0,4
Deep Vihar,,,0,14,0.143974,0.1545,4433.979238,1,1,2,0,4
Sec-24 Rohini,,,0,15,0.128232,0.137603,4696.121174,2,1,3,0,4
Hanuman Mandir Rohini Sec 24,,,0,16,0.117469,0.124956,2119.33523,1,2,3,0,4
Power House Rohini Sec 24,,,0,16,0.12444,0.131628,1543.902484,1,1,2,0,4
Rohini Sec 22/24 Crossing,,,0,15,0.141016,0.150354,3275.490322,1,1,2,0,4
Rohini Sector 11 SFS Flats,,,0,14,0.135509,0.145513,0,1,0,1,0,3
Nangal X-ing,,,0,16,0.122716,0.132309,1171.093261,1,1,2,0,19
Mangol Puri J Block,,,0,16,0.126187,0.13454,2.5,1,1,2,0,7
Mangolpuri K Block (Sanjay Gandhi Hospital),,,0,15,0.143242,0.15422,709.706458,1,1,2,0,7
Rohini Sector 24 Pocket-18,,,0,14,0.132243,0.141465,0,1,0,1,0,3
Rithala Village Main Road,,,0,14,0.143066,0.154938,5597.446211,1,1,2,0,3
Rohini Sector 25 (Deep Vihar),,,0,13,0.16143,0.176686,13128.47757,2,1,3,0,3
NDPO (Baba Kharak Singh Marg),,,0.333333,14,0.166473,0.1862,1008.901862,2,2,4,0,2
Rajiv Rattan Avas Yojna Sector 3 Bawana,,,0,16,0.115535,0.121822,0,1,0,1,0,19
Netaji Subhash Palace,,,1,15,0.131542,0.141147,0,1,1,2,0,3
Rajeev Gandhi Cancer Hospital,,,0,15,0.126025,0.136166,1824.406824,1,1,2,0,3
Rithala Metro Station,,,0,16,0.112116,0.119289,1,1,1,2,0,3
Pal Colony,,,0,16,0.112475,0.12002,33.593176,1,1,2,0,3
Sec-24 Rohini Main Road,,,0,16,0.11456,0.122951,886.429501,1,1,2,0,3
Dera Satguru Sewaram Sahai Sec 24/25,,,0,16,0.116199,0.123864,937.77907,1,1,2,0,3
Rohini Sec 23 Pkt 1 (Green Hill Aptt.),,,0,17,0.105126,0.110122,0,1,0,1,0,4
Rohini Sector 23 Pocket-A,,,0,15,0.135915,0.148813,1859,1,1,2,0,3
Rohini Sector 23 Pocket-C,,,0,16,0.11966,0.12769,0,1,0,1,0,3
Aero City Metro Station,,,0,13,0.147631,0.159057,2916.801352,1,1,2,0,18
ISBT Maharana Pratap Bus (T),,,0,16,0.126962,0.133603,0,0,1,1,0,0
ISBT Ring Road,,,0,15,0.145415,0.156095,2986.4186,2,2,4,0,0
Hoshiyar Pur Village,,,0,14,0.145494,0.156868,1616.931877,1,1,2,0,11
Noida Sector 34 U.P. Roadways Terminal,,,0,15,0.140568,0.151181,0,1,0,1,0,11
Rohini Sector 11,,,1,14,0.147631,0.162317,0,2,2,4,0,3
Police Training School (P.T.S),,,0,15,0.138796,0.150283,27.150714,1,1,2,0,13
Dwarka Sector 13-14 X-ing,,,0,14,0.141284,0.151028,1859,1,1,2,0,16
Dwarka Sector 14 Metro Station,,,0,15,0.123802,0.13006,0,1,0,1,0,16
Dawarka Sector 18A,,,0,14,0.141898,0.152659,1859,1,1,2,0,16
Dawarka Sector 18B,,,0,15,0.124273,0.131116,0,1,0,1,0,16
Dawarka Sector 18,,,0,14,0.141898,0.152659,1859,1,1,2,0,16
Dawarka Sector 19 (Pocket 2),,,0,15,0.124273,0.131116,0,1,0,1,0,16
Dawarka Sector 23,,,0,15,0.13071,0.138336,0,1,0,1,0,16
Gairison Eng.,,,1,15,0.140952,0.152552,0,1,1,2,0,10
Raj Ghat,,,0,14,0.153011,0.166126,174.905153,1,1,2,0,8
Vijay Ghat,,,0,14,0.153023,0.166108,1390.92502,1,1,2,0,0
GGS University/ Yamuna Bazar,,,0,15,0.138465,0.147707,263.748032,1,1,2,0,0
Metcalfe House,,,0,15,0.14166,0.15136,465.708035,1,1,2,0,0
IP College,,,0,14,0.16136,0.17583,1917.112447,1,1,2,0,0
Garrision Eng.,,,1,15,0.140952,0.152552,0,1,1,2,0,10
Pragati Maidan / Railway X-ing Ring Road,,,0,14,0.162474,0.178839,628.875926,1,1,2,0,8
X,,,0,14,0.159492,0.171194,0,1,0,1,0,0
